league,season_start,season_end,date,status,matchday,home_team,home_team_short,home_team_code,away_team,away_team_short,away_team_code,home_team_score,away_team_score,home_team_halfscore,away_team_halfscore
UEFA Champions League,2021-06-22,2022-05-28,2021-11-23T20:00:00Z,FINISHED,5,Malmö FF,Malmö FF,MAL,FK Zenit Sankt-Petersburg,Zenit,ZEN,1,1,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-24T17:45:00Z,FINISHED,5,Beşiktaş JK,Beşiktaş,BES,AFC Ajax,Ajax,AJA,1,2,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-24T17:45:00Z,FINISHED,5,FC Internazionale Milano,Inter,INT,FK Shakhtar Donetsk,Shaktar,SHD,2,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-24T20:00:00Z,FINISHED,5,Club Brugge KV,Club Brugge,CLU,RB Leipzig,RB Leipzig,RBL,0,5,0,4
UEFA Champions League,2021-06-22,2022-05-28,2021-11-24T20:00:00Z,FINISHED,5,Manchester City FC,Man City,MCI,Paris Saint-Germain FC,PSG,PSG,2,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-24T20:00:00Z,FINISHED,5,Liverpool FC,Liverpool,LIV,FC Porto,Porto,FCP,2,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-24T20:00:00Z,FINISHED,5,Club Atlético de Madrid,Atleti,ATL,AC Milan,Milan,MIL,0,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-24T20:00:00Z,FINISHED,5,Sporting Clube de Portugal,Sporting CP,SPO,Borussia Dortmund,Dortmund,BVB,3,1,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-24T20:00:00Z,FINISHED,5,FC Sheriff Tiraspol,Sheriff,SHE,Real Madrid CF,Real Madrid,RMA,0,3,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-12-07T17:45:00Z,FINISHED,6,RB Leipzig,RB Leipzig,RBL,Manchester City FC,Man City,MCI,2,1,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-07T17:45:00Z,FINISHED,6,Paris Saint-Germain FC,PSG,PSG,Club Brugge KV,Club Brugge,CLU,4,1,3,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-07T20:00:00Z,FINISHED,6,AC Milan,Milan,MIL,Liverpool FC,Liverpool,LIV,1,2,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-12-07T20:00:00Z,FINISHED,6,FC Porto,Porto,FCP,Club Atlético de Madrid,Atleti,ATL,1,3,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-07T20:00:00Z,FINISHED,6,AFC Ajax,Ajax,AJA,Sporting Clube de Portugal,Sporting CP,SPO,4,2,2,1
